video_id,link,harmful for adults,harmful for children
7462310616657644822,https://www.tiktok.com/@temp/video/7462310616657644822,Un film da “capogiro”, letteralmente. Da vedere su paramount plus ma credo che si possa trovare anche su Tik Tok diviso in parti. TRAMA: Quando due migliori amiche scalano una torre radio abbandonata e remota, una delle più alte degli Stati Uniti per un’acrobazia da social network, si ritrovano intrappolate a più di 600 metri di altezza. Cinema, consigli cinema, film, film da vedere, recensioni film. #film #cinema #thriller #consiglifilm #fall #davedere #recensioni #cinemalover #paramountplus,no,no
7109539613584280838,https://www.tiktok.com/@temp/video/7109539613584280838,1 modo per farlo impazzire in intimità #psicologiaitalia #psicologiapositiva #seduzione #attrazione #motivazione #autostima,no,no
6877596990742580482,https://www.tiktok.com/@temp/video/6877596990742580482,#duet with @rocketfuel69,no,yes
7515741420045602070,https://www.tiktok.com/@temp/video/7515741420045602070,#alcol #bere #perte,no,no
7444252433737387286,https://www.tiktok.com/@temp/video/7444252433737387286,When nature strikes back…Made with @Hailuo AI (MiniMax) #Tsunami #EpicWave #NaturalDisaster #OceanPower #WaveOfDestruction #UnstoppableNature #ClimateCrisis #EarthForce #ViralVideo #CinematicScenes #DisasterMovieVibes #hailuoai #minimax #fantasy #irinamalina_ai #UnrealNature #AIArt #OceanFury #globalimpact,no,no
7088294112385944838,https://www.tiktok.com/@temp/video/7088294112385944838,Cosa spinge all’abuso di droghe? E quali sono le conseguenze?A San Patrignano abbiamo incontrato 6 persone che ci hanno raccontato le loro storie di dipendenza e i loro percorsi di riabilitazione nella comunità. Potete vedere tutti gli episodi della docu-serie “Resistenze” sulle nostre pagine Facebook e YouTube #resistenze #freeda #docuserie #documentary #dietrolequinte #addiction,no,no
7516855735884565782,https://www.tiktok.com/@temp/video/7516855735884565782,Una scommessa da 10€ oggi. Un mutuo negato domani. È tutela o controllo? Scrivimelo nei commenti. #mutuo #banca #contocorrente #giocoazzardo #giovanioggi #gentlemanfm #tiktokitalia,no,no
7527687400240254230,https://www.tiktok.com/@temp/video/7527687400240254230,#perte #alcohol #foryou #serata #sbocco,no,no
7387770845847997728,https://www.tiktok.com/@temp/video/7387770845847997728,Fatti pagare un caffé con questa semplice scommessa! Per questo video mi baso su un gioco che, da quel che so, è di Gianfranco Preverino, maestro della prestigiazione e del mondo dei bari/scommesse! #magia #spiegazione #wizfanelli,no,no
7534636428534320406,https://www.tiktok.com/@temp/video/7534636428534320406,Raccomandazione di biancheria intima traspirante da uomo#fyp #musthave #fashion #Biancheria intima,no,no
7514299779073969431,https://www.tiktok.com/@temp/video/7514299779073969431,Ma quali sono le conseguenze di una dieta restrittiva? 🚫Esatto, la dieta, soprattutto se drastica ha degli effetti collaterali da non trascurare 👤Effetti sul corpo e sulla mente: 📍rallentamento metabolico, il corpo entra in modalità “risparmio energetico” e brucia meno kcal 📍perdita di massa muscolare: è un fattore da non trascurare, proprio perché perdendo muscolo si va ulteriormente a rallentare il metabolismo Infatri spesso quando si finisce la dieta si riprendono in fretta i kg persi con gli interessi 📍maggiore desiderio di carboidrati, dolce e salato: proprio perché sono la fonte privilegiata di energia per il corpo 📍pensiero costante rivolto al cibo, in particolare ai cibi di cui ci stiamo privando 📍maggiore rischio di abbuffate e perdita di controllo 📍incapacità di percepire i nostri segnali, in particolare la sazietà 📍senso di colpa, fallimento, frustrazione 👤🍒🍝Se non rispettiamo un bisogno primario come quello di nutrirci, il nostro corpo metterà in atto dei meccanismi di difesa, sia a livello fisico che psicologico! ⛓️‍💥Non c’entra la forza di volontà, sono meccanismi bene conosciuti, automatici che si ripetono ogni qualvolta che proviamo a chiudere l’alimentazione dentro regole rigide Un’alternativa gentile c’è! Non farti ingannare dall’ennesima dieta♥️🌸 #intuitiveeating #culturadelladieta #nutrizione #dimagrire #bilancia #peso #salute #kcal #giudizio #fameemotiva #mindfuleating #dietarestrittiva #dieta #nutrizionista #abbuffate,no,no
7460491818732391702,https://www.tiktok.com/@temp/video/7460491818732391702,The human preparations at BODY WORLDS exhibits come from the donor program. Donors choose to give their bodies for medical science and education, focusing on anatomy, not personal details. Want to see more? Visit BODY WORLDS or check our website—link in bio! #BodyWorldsAmsterdan #BodyWorlds #DonorProgram #AnatomyEducation #ScienceForGood #DidYouKnow,no,no
7244169215295425819,https://www.tiktok.com/@temp/video/7244169215295425819,#ironia :),no,yes
7526273344476286230,https://www.tiktok.com/@temp/video/7526273344476286230,L’alcool me sauve #percer,no,no
7147006134648311045,https://www.tiktok.com/@temp/video/7147006134648311045,🎤 @Léa Lrnc #dilemma #tiktok #trend #music #funny #drole #pourtoi #foryou #france #trending #viral #fyp #humour #bestfriend #fun,no,no
7302810829399805216,https://www.tiktok.com/@temp/video/7302810829399805216,THREEMA, L'APP CHE GARANTISCE LA PRIVACY #yourpersonaldetective#detective#investigatoreprivato#attenzione#calcioscommesse#neiperte#privacy#spy#tips,yes,no
7397108398703004961,https://www.tiktok.com/@temp/video/7397108398703004961,Che figata il corpo umano…🤩 #curiosità #anatomia #corpoumano #letsmove #diegofusina,no,no
7499836724701367574,https://www.tiktok.com/@temp/video/7499836724701367574,Dentro quell’auto c’era un segreto… e la polizia lo scopre pezzo per pezzo.” #p#poliziaitalianas#sequestrod#drogac#cronacaPoliceControl,no,no
children
7526973477438459158,https://www.tiktok.com/@temp/video/7526973477438459158,esperienza #perte #trekking #dolomiti #auronzo #trecimedilavaredo #cinesi #grotta,no,no
7531071828878429462,https://www.tiktok.com/@temp/video/7531071828878429462,#costamerlata #perte #salento #sea #puglia #italy @rosella💅🏻👛🌷🍬🛍️💕💄,no,no
7530259258202443030,https://www.tiktok.com/@temp/video/7530259258202443030,Erkenn den Bart an …estaaaaaaaaa #viral_video#viral#fürdichpage#fypdong#viraliza#fürdich#vairal#viralizatiktok#viralizaae#viralizaai,no,no
7532077184995839254,https://www.tiktok.com/@temp/video/7532077184995839254,“È stata una gravidanza cercata e voluta” 🎀 #GiuliaDeLellis parla della dolce attesa della sua Priscilla 💕 #Verissimo #davedere,no,no
7532922930603379990,https://www.tiktok.com/@temp/video/7532922930603379990,non so ancora se sia reale o se stia sognando😳🎶 #bocelli #virginiabocelli #cantareconbocelli,no,no
7520297317203709206,https://www.tiktok.com/@temp/video/7520297317203709206,🇫🇷🇩🇪 #foryou,no,no
7530534267160399126,https://www.tiktok.com/@temp/video/7530534267160399126,Mia mamma icona n.1 😂 #laureamagistrale #perte,no,no
7530807033600232726,https://www.tiktok.com/@temp/video/7530807033600232726,Ij teng e paparell😂🦆#perte #foryou #papera,no,no
7519981705139113238,https://www.tiktok.com/@temp/video/7519981705139113238,mamma se stai guardando questo video non ho fatto nulla 🙏🏻,no,yes
7503547470006226198,https://www.tiktok.com/@temp/video/7503547470006226198,You can try it this way too #learnfromkhaby #comedy,no,no
7525124927331044630,https://www.tiktok.com/@temp/video/7525124927331044630,#perte #fyp #mamma,no,no
7532898336269962518,https://www.tiktok.com/@temp/video/7532898336269962518,Est-ce qu’Anna accepte d’aller dans la suite de l’Amour ? 😱🤣 #humour #pourtoi #foryou
7532508942467960086,https://www.tiktok.com/@temp/video/7532508942467960086,Versuche zurzeit ein paar meiner Follower zurück zu folgen❤️➡️
7532208700942077190,https://www.tiktok.com/@temp/video/7532208700942077190,MY FAV DANCE !!,no,yes
7527346617104551190,https://www.tiktok.com/@temp/video/7527346617104551190,in fondo è pur sempre una DIVA 💕😍,no,no
7526701516003020054,https://www.tiktok.com/@temp/video/7526701516003020054,Ma in che senso? E allora tutto quello in cui credevo…,no,no
7529659133415525654,https://www.tiktok.com/@temp/video/7529659133415525654,Team beta o breakfast club?? @𝖆𝖕𝖔𝖑𝖔 @Álvarito🐍 @Viola Silvi @Fabio Ferrucci @Cristiano🌓,no,no
7533599474694884630,https://www.tiktok.com/@temp/video/7533599474694884630,Dopo i primi due presunti incontri nella zona di Torriglia e il terzo ai piedi del monte Fasce, Pier Fortunato Zanfretta torna in servizio nell'entroterra genovese🚓 A Fallarosa, a pochi chilometro dal luogo dove avvenne il primo episodio, il metronotte tenta di comunicare con la centrale via radio: ha un forte mal di testa... e poi il nulla...👽 Colleghi e Polizia giungono sul posto ed è il caos 👉 nel quarto episodio vi racconteremo ciò che è successo, con una parentesi dedicata alle sedute di ipnosi a cui Zanfretta si sottopose (con registrazioni audio) Con noi Rino Di Stefano ed Enrico Pietra leggi l'articolo su mentelocale.it #mentelocalegenova #faimentelocale #ufo #alieni #abduction #genova,no,yes
7532199191431613719,https://www.tiktok.com/@temp/video/7532199191431613719,Elle l’a fait 😱
7530376607287086359,https://www.tiktok.com/@temp/video/7530376607287086359,La Polizia di Napoli ferma delle probabili vedette tra cui un pilota d'aereo,no,no
7531347646338862369,https://www.tiktok.com/@temp/video/7531347646338862369,🙌 È diventato virale sui social il video di un bagnante che dà uno “schiaffetto” alla nuca di Paolo Bonolis in spiaggia a Formentera. In realtà lo “schiaffeggiatore” è Roberto Cenci, autore e regista di Mediaset, nonché amico di vecchia data del conduttore. Un siparietto tra amici che ha inizialmente generato grande dibattito tra gli utenti. Credits: Roberto Cenci,no,yes
7519826511478836536,https://www.tiktok.com/@temp/video/7519826511478836536,Katherine acted so well that every time I see this scene I get confused 🤔 #famouseditxx #edit #fyp #katherinepierce #tvd #tvdu #thevampirediaries #ninadobrev #p4lsoc #jcqedits [all fake TikTok],no,no
7529247827004869920,https://www.tiktok.com/@temp/video/7529247827004869920,Quando la realtà supera il meme...🤯 FORZA NAPOLI, ed è subito 'SKIBIDIBOPPI' dal ritiro del Napoli 😅🤣 #SSCNapoli #Lombardo #JuanJesus,no,no
7529854406465015062,https://www.tiktok.com/@temp/video/7529854406465015062,no rega spiegatemi #paranormal #mare #perte #aiuto #hopaura,no,no
7531304252568767766,https://www.tiktok.com/@temp/video/7531304252568767766,Prodotti scaduti addirittura da oltre vent’anni, chili di tartufo privi di indicazioni sui canali di approvvigionamento e altrettanti di porcini senza documenti di verifica di commestibilità e salubrità, ma anche cani e gatti liberi di muoversi sui piani di preparazione dei piatti da servire ai clienti. E queste non sono che alcune delle irregolarità riscontrate dai carabinieri del Nas di Bologna in numerosi rifugi controllati sull’Appennino emiliano romagnolo, all’interno dei parchi regionali. Dei 16 rifugi controllati, solo quattro sono risultati completamente in regola, mentre altri quattro sono stati sospesi. Complessivamente, dunque, sono state elevate sanzioni per circa 27 mila euro. Alcune irregolarità, come anticipato, sono risultate anche molto gravi: complessivamente sono stati sequestrati oltre 700 chili di carni (daino, cervo, cinghiale, bovino), trote salmonate, salumi, latticini, bevande e altri alimenti scaduti, in alcuni casi da oltre 20 anni; tutti prodotti in attesa di essere somministrati o utilizzati nella preparazione dei piatti da servire ai commensali e agli escursionisti, numerosi specie nel periodo estivo. Il valore complessivo dei prodotti sequestrati è stato stimato in circa 35 mila euro. 👉 L'articolo completo di Federica Nannetti prosegue sul Corriere #rifugi #nas #cibo,no,no
search children
7296111153678273825,https://www.tiktok.com/@temp/video/7296111153678273825,Cosa si prova a vivere con un chirurgo plastico? La mia famiglia risponde #chirurgiapostbariatrica #chirurgiaplastica #chirurgiaestetica,no,no
7483143172424568086,https://www.tiktok.com/@temp/video/7483143172424568086,@yleanaaaa  #⚽️🏀🏐⚽️ #scommessecalcio #perte #planetwin365 #scommessa #fyp #foryouu #ludopatia,no,no
7458262513440918806,https://www.tiktok.com/@temp/video/7458262513440918806,ho perso 15 chili in soli 3 mesi mangiando #dimagrire #perderepeso #estateinforma #mammainforma #amarsi #piacersi #amati #cambiamenti #cambiamento #rimanereinforma  #dimagrire #dimagrirevelocemente #dimagriremangiando,no,no
7400080103746719009,https://www.tiktok.com/@temp/video/7400080103746719009,L’amore vero per me è questo…🫶🏽❣️🌅 #love #mylove #lover #shoot,yes,yes
7507659289356422422,https://www.tiktok.com/@temp/video/7507659289356422422,Kris Jenner ➡️ La “Momager” per eccellenza. Icona di resilienza e strategia, ha saputo trasformare la sua energia interiore in una forza anche estetica. 🎀 Si ipotizzano interventi come un lifting profondo, una blefaroplastica e trattamenti mirati per migliorare texture e qualità cutanea. Il risultato? Straordinariamente naturale e armonico. Voi cosa ne pensate del suo percorso di trasformazione estetica? Lasciate un commento qui sotto!👇👇👇 #KrisJenner #Momager #ChirurgiaEstetica #LiftingFacciale #Blefaroplastica #TrattamentiViso #SkincareAvanzata #BellezzaSenzaTempo #AntiAge #Ringiovanimento #EsteticaDiClasse #BeautyTransformation #IconaDiStile #CelebrityLook #CuraDellaPelle,no,no
7389897779604147489,https://www.tiktok.com/@temp/video/7389897779604147489,😊👍 #precision #precisionchallenge #2 #precisionchallenge2 #game #tiktokgame #challenge #tiktokchallenge2024 #tiktokchallenge #tiktokfilter #filter #effect #tiktokeffect #trend #tiktoktrend #trending #fyp #fypシ #foryou #foryourpage #foryoupage #viral #viralvideo #blowthisup #pleasegoviral #filterchallenge #filtertrend #caglings36 #filters #newtrend #newtrending #newtrendchallenge #fypage,no,no
7523294263795289366,https://www.tiktok.com/@temp/video/7523294263795289366,#cloresrl #wholesale #stocks #underwear #нижнеебелье #luxury #biancheriaintima,no,no
7466174234088230166,https://www.tiktok.com/@temp/video/7466174234088230166,#voliamoneiperte,no,yes
7534094634469821718,https://www.tiktok.com/@temp/video/7534094634469821718,Scopri i 5 tsunami più devastanti della storia! In questo video, esploreremo gli eventi naturali che hanno lasciato un segno indelebile sul nostro pianeta, analizzando l'altezza degli tsunami e i danni stimati in euro. Dalla furia distruttiva dell'onda di Tōhoku nel 2011 ai catastrofici eventi di Sumatra nel 2004, ogni tsunami ha una storia da raccontare. Prepara la tua mente per un viaggio emozionante tra statistiche e racconti strazianti di resilienza. Non dimenticare di mettere un like e condividere il video! Unisciti a noi per conoscere questi eventi che hanno cambiato il corso della storia. #Tsunami #DisastriNaturali #giappone #2011 #terremoto #classifica,no,no
7506163301282237718,https://www.tiktok.com/@temp/video/7506163301282237718,Într-un final… #fyp #fy #casino #plata #aparate #bucuresti
7224084683972168986,https://www.tiktok.com/@temp/video/7224084683972168986,Le attività giornaliere pericolose....cambiare il prezzo a ChefLife #gamestop #gamestopemployee #gamestopitaly #gamestopworker #commesso #jaws #cheflife,no,no
7500547339354983702,https://www.tiktok.com/@temp/video/7500547339354983702,Day 12 #simulation #airplane #planegame #gaming #casino,no,yes
7236105466164645125,https://www.tiktok.com/@temp/video/7236105466164645125,@ZipoliteOaxaca de ls mejores experiencias!! #playa #beach #tiktoksdeviajes #pequeñaviajera #viajerasmexicanas #vacaciones #goodvibes #mar #viajes #traveltiktok #zipolite #playanudista #nudebeach #travellife #beachvibes,no,no
7528685120945966358,https://www.tiktok.com/@temp/video/7528685120945966358,Blood Splashing effects VFX Green Screen Animation. #vfx #blood #effect #animation #greenscreensticker #greenscreenvideo #fyp #greenscreen,no,no
7470415804127792406,https://www.tiktok.com/@temp/video/7470415804127792406,Il primo bacio è quello intimo tra mamma e bambino subito dopo la nascita e poi rappresenta “nutrimento affettivo” durante tutta la crescita. Passerei le ore così, a baciarti tutta 🥺 #mom #mamma #neomamma #neonato #baci,no,no
7503623167622139158,https://www.tiktok.com/@temp/video/7503623167622139158,🌪️ #dance #fyp #viral #trend #dc #trendingsound #trendingvideos #viralvideos #foryoupagе,no,no
7498596231657098551,https://www.tiktok.com/@temp/video/7498596231657098551,Cuerpos humanos reales🫀 ¡Última semana! #exhibition #museo #guatemala #medicina #guatemala🇬🇹,no,no
7181779872665160987,https://www.tiktok.com/@temp/video/7181779872665160987,women with pcos🎀🎀🎀❤️,no,no
7434218291268160791,https://www.tiktok.com/@temp/video/7434218291268160791,I metodi e i rimedi Dott. Rabitti- Bertolaso ,sono da intendersi quali formulazioni cosmetiche naturali. I contenuti di questo video sono espressione delle attuali conoscenze scientifiche. Nel passare da tali informazioni alla loro applicazione è sempre buona regola rivolgersi al proprio medico per assicurarsi che non vi siano controindicazioni specifiche. Questo video fornisce utili consigli ma gli integratori e cosmetici naturali non vanno intesi quali sostituti di uno stile di vita equilibrato e sano.#virilityperformance #pillolablu💙 #perte #prodottinaturali #perleblu #farmacistadifiducia #notiziadelgiorno #alternativapillolablu #pillolablu💙 #virilityperformance #perte,no,yes
7519166988380278038,https://www.tiktok.com/@temp/video/7519166988380278038,Cialis o Viagra? Facciamo chiarezza! #farmacia #farmaciste #farmacista #cialis #educazionesessuale,no,yes
7527967112753679647,https://www.tiktok.com/@temp/video/7527967112753679647,Beach VANISHES as Cyclone’s Spiral Devours Everything! 🌪️🔥 #CycloneChaos #NatureWrath #StormOfTheYear #ViralDisaster #BeachApocalypse #TerrifyingNature #SurvivalMode #EpicWave #WeatherGoneWild #TrendingNow #Tiktokviral #foryoupage #fyp,no,no
7525505003713219862,https://www.tiktok.com/@temp/video/7525505003713219862,Non sono contro, ognuno è libero di fare ciò che vuole, ma penso che nella vita ci siano cose più belle e salutari di spendere soldi in questo. Finché lo fai per divertimento una volta ogni tanto ci può anche stare, ma purtroppo non tutte le teste sono forti e a volte si finisce in un limbo.,yes,yes
7528421461162282262,https://www.tiktok.com/@temp/video/7528421461162282262,92i #dancetiktok #foruyou #fyp #pourtoi #viral #latina #dancetrend #girl #92i #leggings #fypppppppppppppp #legging #leggingquibail #trend #nikepros #dancechallenge #biglatinanikepro #92iultragechar #wormonastring #mom #2008string #teengirl,no,no
7527691460171418902,https://www.tiktok.com/@temp/video/7527691460171418902,La verità sulle diete 💔 Secondo la ricerca scientifica, le diete restrittive possono avere effetti negativi sulla salute mentale e fisica, aumentando il rischio di disturbi alimentari, ansia e depressione. 🤯 Uno studio pubblicato sulla rivista “Journal of the Academy of Nutrition and Dietetics” ha scoperto che le diete restrittive possono portare a una riduzione della massa muscolare e a un aumento della massa grassa. 📊 Inoltre, la National Eating Disorders Association (NEDA) stima che il 70% delle ragazze adolescenti hanno già provato a seguire una dieta restrittiva, aumentando il rischio di sviluppare disturbi alimentari. 🚨 È ora di cambiare il nostro approccio all’alimentazione e di insegnare alle nostre figlie a mangiare in modo sano e equilibrato, senza restrizioni o sensi di colpa. 🥗 Vuoi scoprire come fare? Commenta con “Sana Alimentazione” e ti invierò il link per scoprire come accedere al nostro programma Strong 2.0 e ottenere la guida GRATIS! 👇 Fonti: - “Journal of the Academy of Nutrition and Dietetics” (2019) - National Eating Disorders Association (NEDA) - Organizzazione Mondiale della Sanità (OMS) • Segui @vitadamamma3.0 Disclaimer:Incaricata indipendente Dna solutions #sanaalimentazione #mangiarebene #vivimeglio #donneempowered #mammeconsapevoli #salutementale #figli #benessere #andiamoneiperteee #mammeditiktok,no,no
7405545761762463009,https://www.tiktok.com/@temp/video/7405545761762463009,Alcune challenge pericolose e super virali nate su questa piattaforma. E ce ne sono di peggiori, amici. Sono TANTISSIME. #neiperte #creepyfacts #creepytok #disturbingfacts,no,yes
